"age","year","M2"
"1","1980",0.185238181992161
"2","1980",0
"3","1980",0
"4","1980",0
"5","1980",0.00736033315589949
"1","1981",0.199809027311927
"2","1981",0
"3","1981",0
"4","1981",0
"5","1981",0.0113032123609837
"1","1982",0.0992568480894601
"2","1982",0
"3","1982",0
"4","1982",0
"5","1982",0.00582779172544214
"1","1983",0.250998918630325
"2","1983",0
"3","1983",0
"4","1983",0
"5","1983",0.0161347471773593
"1","1984",0.149168268378159
"2","1984",0
"3","1984",0
"4","1984",0
"5","1984",0.0246703442235594
"1","1985",0.174870178873571
"2","1985",0
"3","1985",0
"4","1985",0
"5","1985",0.0059884999951981
"1","1986",0.250424601268502
"2","1986",0
"3","1986",0
"4","1986",0
"5","1986",0.00921224828866801
"1","1987",0.372056682910494
"2","1987",0
"3","1987",0
"4","1987",0
"5","1987",0.0170847158465232
"1","1988",0.221256402894547
"2","1988",0
"3","1988",0
"4","1988",0
"5","1988",0.006613479860637
"1","1989",0.136089219781601
"2","1989",0
"3","1989",0
"4","1989",0
"5","1989",0.0036332331318982
"1","1990",0.420840628358599
"2","1990",0
"3","1990",0
"4","1990",0
"5","1990",0.00362437796789966
"1","1991",0.197465575323724
"2","1991",0
"3","1991",0
"4","1991",0
"5","1991",0.0238179401112715
"1","1992",0.212508817506983
"2","1992",0
"3","1992",0
"4","1992",0
"5","1992",0.00448303698890466
"1","1993",0.120060386757653
"2","1993",0
"3","1993",0
"4","1993",0
"5","1993",0.00423035402116551
"1","1994",0.230914040876797
"2","1994",0
"3","1994",0
"4","1994",0
"5","1994",0.0536494399273336
"1","1995",0.0788806758118267
"2","1995",0
"3","1995",0
"4","1995",0
"5","1995",0.00167855504047674
"1","1996",0.126361555748535
"2","1996",0
"3","1996",0
"4","1996",0
"5","1996",0.0015755263082484
"1","1997",0.102803104222303
"2","1997",0
"3","1997",0
"4","1997",0
"5","1997",0.00124921114835593
"1","1998",0.0723792274857488
"2","1998",0
"3","1998",0
"4","1998",0
"5","1998",0.0198069581824354
"1","1999",0.0704701335380291
"2","1999",0
"3","1999",0
"4","1999",0
"5","1999",0.00100782413415078
"1","2000",0.153359673447614
"2","2000",0
"3","2000",0
"4","2000",0
"5","2000",0.00146505080850826
"1","2001",0.0757954787178953
"2","2001",0
"3","2001",0
"4","2001",0
"5","2001",0.00528467925495463
"1","2002",0.166538244248022
"2","2002",0
"3","2002",0
"4","2002",0
"5","2002",0.00285402964134029
"1","2003",0.0995149906975365
"2","2003",0
"3","2003",0
"4","2003",0
"5","2003",0.00116507596969573
"1","2004",0.0743088894326957
"2","2004",0
"3","2004",0
"4","2004",0
"5","2004",0.00268560408869755
"1","2005",0.15512264431885
"2","2005",0
"3","2005",0
"4","2005",0
"5","2005",0.00241326031416339
"1","2006",0.143943500208746
"2","2006",0
"3","2006",0
"4","2006",0
"5","2006",0.00121055142007856
"1","2007",0.0882334900279466
"2","2007",0
"3","2007",0
"4","2007",0
"5","2007",0.00252243029305287
"1","2008",0.0654402891098496
"2","2008",0
"3","2008",0
"4","2008",0
"5","2008",0.00237523893201959
"1","2009",0.110558294558887
"2","2009",0
"3","2009",0
"4","2009",0
"5","2009",0.00156400106134434
"1","2010",0.0454427404885186
"2","2010",0
"3","2010",0
"4","2010",0
"5","2010",0.00155919732284917
"1","2011",0.144127968968084
"2","2011",0
"3","2011",0
"4","2011",0
"5","2011",0.00159107977903956
"1","2012",0.0657138832396486
"2","2012",0
"3","2012",0
"4","2012",0
"5","2012",0.0029826428167448
"1","2013",0.154433178634463
"2","2013",0
"3","2013",0
"4","2013",0
"5","2013",0.0148559982456443
"1","2014",0.0966632459536147
"2","2014",0
"3","2014",0
"4","2014",0
"5","2014",0.00154659503007472
"1","2015",0.112718124549146
"2","2015",0
"3","2015",0
"4","2015",0
"5","2015",0.00144350935365431
"1","2016",0.163680276149742
"2","2016",0
"3","2016",0
"4","2016",0
"5","2016",0.00100966728012281
"1","2017",0.225776180400947
"2","2017",0
"3","2017",0
"4","2017",0
"5","2017",0.00230707351581495
"1","2018",0.150026372304962
"2","2018",0
"3","2018",0
"4","2018",0
"5","2018",0.00175759912041703
"1","2019",0.09519320529313
"2","2019",0
"3","2019",0
"4","2019",0
"5","2019",0.00238719770833415
"1","2020",0.176569619880361
"2","2020",0
"3","2020",0
"4","2020",0
"5","2020",0.00202266057355172
"1","2021",0.0615067231422241
"2","2021",0
"3","2021",0
"4","2021",0
"5","2021",0.000760228205881872
"1","2022",0.0757439826636851
"2","2022",0
"3","2022",0
"4","2022",0
"5","2022",0.00157737810476608
"1","2023",0.0632823428370709
"2","2023",0
"3","2023",0
"4","2023",0
"5","2023",0.000963755286439769
"1","2024",0.0602964551379269
"2","2024",0
"3","2024",0
"4","2024",0
"5","2024",0.00277499498787283
"1","2025",0.054821585100723
"2","2025",0
"3","2025",0
"4","2025",0
"5","2025",0.000439847923410079
"1","2026",0.06087358858281
"2","2026",0
"3","2026",0
"4","2026",0
"5","2026",0.000405461603778583
"1","2027",0.0599894139605011
"2","2027",0
"3","2027",0
"4","2027",0
"5","2027",0.000355588018468972
"1","2028",0.0598236503837757
"2","2028",0
"3","2028",0
"4","2028",0
"5","2028",0.000595345639697608
"1","2029",0.0604531625280136
"2","2029",0
"3","2029",0
"4","2029",0
"5","2029",0.000341222114873875
"1","2030",0.0604357037373668
"2","2030",0
"3","2030",0
"4","2030",0
"5","2030",0.000415306281534586
"1","2031",0.0604486598268133
"2","2031",0
"3","2031",0
"4","2031",0
"5","2031",0.00037315834208576
"1","2032",0.060420529177522
"2","2032",0
"3","2032",0
"4","2032",0
"5","2032",0.000341082415164107
"1","2033",0.0604065243058818
